Exam Name,Year,Paper Number (if any),Subject (if any),Type,Image Name,Answer Type,Answer 1,Answer 2,Answer 3,Answer 4
IOQM,2017,-,-,Integer,1.png,-,28,,,
IOQM,2017,-,-,Integer,2.png,-,73,,,
IOQM,2017,-,-,Integer,3.png,-,16,,,
IOQM,2017,-,-,Integer,4.png,-,25,,,
IOQM,2017,-,-,Integer,5.png,-,48,,,
IOQM,2017,-,-,Integer,6.png,-,83,,,
IOQM,2017,-,-,Integer,7.png,-,29,,,
IOQM,2017,-,-,Integer,8.png,-,7,,,
IOQM,2017,-,-,Integer,9.png,-,60,,,
IOQM,2017,-,-,Integer,10.png,-,48,,,
IOQM,2017,-,-,Integer,11.png,-,60,,,
IOQM,2017,-,-,Integer,12.png,-,42,,,
IOQM,2017,-,-,Integer,13.png,-,24,,,
IOQM,2017,-,-,Integer,14.png,-,10,,,
IOQM,2017,-,-,Integer,15.png,-,51,,,
IOQM,2017,-,-,Integer,16.png,-,36,,,
IOQM,2017,-,-,Integer,17.png,-,13,,,
IOQM,2017,-,-,Integer,18.png,-,21,,,
IOQM,2017,-,-,Integer,19.png,-,36,,,
IOQM,2017,-,-,Integer,20.png,-,73,,,
IOQM,2017,-,-,Integer,21.png,-,60,,,
IOQM,2017,-,-,Integer,22.png,-,97,,,
IOQM,2017,-,-,Integer,23.png,-,47,,,
IOQM,2017,-,-,Integer,24.png,-,28,,,
IOQM,2017,-,-,Integer,25.png,-,30,,,
IOQM,2017,-,-,Integer,26.png,-,75,,,
IOQM,2017,-,-,Integer,27.png,-,20,,,
IOQM,2018,-,-,Integer,1.png,-,17,,,
IOQM,2018,-,-,Integer,2.png,-,8,,,
IOQM,2018,-,-,Integer,3.png,-,70,,,
IOQM,2018,-,-,Integer,4.png,-,12,,,
IOQM,2018,-,-,Integer,5.png,-,84,,,
IOQM,2018,-,-,Integer,6.png,-,18,,,
IOQM,2018,-,-,Integer,7.png,-,14,,,
IOQM,2018,-,-,Integer,8.png,-,80,,,
IOQM,2018,-,-,Integer,9.png,-,81,,,
IOQM,2018,-,-,Integer,10.png,-,24,,,
IOQM,2018,-,-,Integer,11.png,-,34,,,
IOQM,2018,-,-,Integer,12.png,-,88,,,
IOQM,2018,-,-,Integer,13.png,-,24,,,
IOQM,2018,-,-,Integer,14.png,-,19,,,
IOQM,2018,-,-,Integer,15.png,-,21,,,
IOQM,2018,-,-,Integer,16.png,-,55,,,
IOQM,2018,-,-,Integer,17.png,-,30,,,
IOQM,2018,-,-,Integer,18.png,-,16,,,
IOQM,2018,-,-,Integer,19.png,-,33,,,
IOQM,2018,-,-,Integer,20.png,-,17,,,
IOQM,2018,-,-,Integer,21.png,-,63,,,
IOQM,2018,-,-,Integer,22.png,-,6,,,
IOQM,2018,-,-,Integer,23.png,-,14,,,
IOQM,2018,-,-,Integer,24.png,-,27,,,
IOQM,2018,-,-,Integer,25.png,-,81,,,
IOQM,2018,-,-,Integer,26.png,-,62,,,
IOQM,2018,-,-,Integer,27.png,-,90,,,
IOQM,2018,-,-,Integer,28.png,-,24,,,
IOQM,2018,-,-,Integer,29.png,-,30,,,
IOQM,2019,-,-,Integer,1.png,-,4,,,
IOQM,2019,-,-,Integer,2.png,-,13,,,
IOQM,2019,-,-,Integer,3.png,-,13,,,
IOQM,2019,-,-,Integer,4.png,-,36,,,
IOQM,2019,-,-,Integer,5.png,-,10,,,
IOQM,2019,-,-,Integer,6.png,-,29,,,
IOQM,2019,-,-,Integer,7.png,-,51,,,
IOQM,2019,-,-,Integer,8.png,-,49,,,
IOQM,2019,-,-,Integer,9.png,-,14,,,
IOQM,2019,-,-,Integer,10.png,-,55,,,
IOQM,2019,-,-,Integer,11.png,-,6,,,
IOQM,2019,-,-,Integer,12.png,-,18,,,
IOQM,2019,-,-,Integer,13.png,-,10,,,
IOQM,2019,-,-,Integer,14.png,-,53,,,
IOQM,2019,-,-,Integer,15.png,-,45,,,
IOQM,2019,-,-,Integer,16.png,-,40,,,
IOQM,2019,-,-,Integer,17.png,-,30,,,
IOQM,2019,-,-,Integer,18.png,-,20,,,
IOQM,2019,-,-,Integer,19.png,-,13,,,
IOQM,2019,-,-,Integer,20.png,-,64,,,
IOQM,2019,-,-,Integer,21.png,-,17,,,
IOQM,2019,-,-,Integer,22.png,-,78,,,
IOQM,2019,-,-,Integer,23.png,-,55,,,
IOQM,2019,-,-,Integer,24.png,-,37,,,
IOQM,2019,-,-,Integer,25.png,-,48,,,
IOQM,2019,-,-,Integer,26.png,-,50,,,
IOQM,2019,-,-,Integer,27.png,-,84,,,
IOQM,2019,-,-,Integer,28.png,-,15,,,
IOQM,2019,-,-,Integer,29.png,-,47,,,
IOQM,2020,-,-,Integer,1.png,-,8,,,
IOQM,2020,-,-,Integer,2.png,-,64,,,
IOQM,2020,-,-,Integer,3.png,-,99,,,
IOQM,2020,-,-,Integer,4.png,-,19,,,
IOQM,2020,-,-,Integer,5.png,-,18,,,
IOQM,2020,-,-,Integer,6.png,-,15,,,
IOQM,2020,-,-,Integer,7.png,-,25,,,
IOQM,2020,-,-,Integer,8.png,-,15,,,
IOQM,2020,-,-,Integer,9.png,-,2,,,
IOQM,2020,-,-,Integer,10.png,-,40,,,
IOQM,2020,-,-,Integer,11.png,-,24,,,
IOQM,2020,-,-,Integer,12.png,-,24,,,
IOQM,2020,-,-,Integer,13.png,-,6,,,
IOQM,2020,-,-,Integer,14.png,-,20,,,
IOQM,2020,-,-,Integer,15.png,-,96,,,
IOQM,2020,-,-,Integer,16.png,-,87,,,
IOQM,2020,-,-,Integer,17.png,-,30,,,
IOQM,2020,-,-,Integer,18.png,-,80,,,
IOQM,2020,-,-,Integer,19.png,-,40,,,
IOQM,2020,-,-,Integer,20.png,-,75,,,
IOQM,2020,-,-,Integer,21.png,-,35,,,
IOQM,2020,-,-,Integer,22.png,-,84,,,
IOQM,2020,-,-,Integer,23.png,-,74,,,
IOQM,2020,-,-,Integer,24.png,-,21,,,
IOQM,2020,-,-,Integer,25.png,-,56,,,
IOQM,2020,-,-,Integer,26.png,-,18,,,
IOQM,2020,-,-,Integer,27.png,-,87,,,
IOQM,2020,-,-,Integer,28.png,-,93,,,
IOQM,2020,-,-,Integer,29.png,-,99,,,
IOQM,2020,-,-,Integer,30.png,-,16,,,
IOQM,2021,-,-,Integer,1.png,-,45,,,
IOQM,2021,-,-,Integer,2.png,-,68,,,
IOQM,2021,-,-,Integer,3.png,-,8,,,
IOQM,2021,-,-,Integer,4.png,-,98,,,
IOQM,2021,-,-,Integer,5.png,-,40,,,
IOQM,2021,-,-,Integer,6.png,-,30,,,
IOQM,2021,-,-,Integer,7.png,-,35,,,
IOQM,2021,-,-,Integer,8.png,-,24,,,
IOQM,2021,-,-,Integer,9.png,-,8,,,
IOQM,2021,-,-,Integer,10.png,-,40,,,
IOQM,2021,-,-,Integer,11.png,-,12,,,
IOQM,2021,-,-,Integer,12.png,-,73,,,
IOQM,2022,-,-,Integer,1.png,-,10,,,
IOQM,2022,-,-,Integer,2.png,-,67,,,
IOQM,2022,-,-,Integer,3.png,-,60,,,
IOQM,2022,-,-,Integer,4.png,-,10,,,
IOQM,2022,-,-,Integer,5.png,-,95,,,
IOQM,2022,-,-,Integer,6.png,-,43,,,
IOQM,2022,-,-,Integer,7.png,-,35,,,
IOQM,2022,-,-,Integer,8.png,-,32,,,
IOQM,2022,-,-,Integer,9.png,-,82,,,
IOQM,2022,-,-,Integer,10.png,-,88,,,
